"Symbol"	"Entrez"	"Description"
"Icam4"	"78369"	"intercellular adhesion molecule 4, Landsteiner-Wiener blood group"
"Ilf2"	"67781"	"interleukin enhancer binding factor 2"
"Chtop"	"66511"	"chromatin target of PRMT1"
"Snapin"	"20615"	"SNAP-associated protein"
"S100a4"	"20198"	"S100 calcium binding protein A4"
"S100a3"	"20197"	"S100 calcium binding protein A3"
"S100a5"	"20199"	"S100 calcium binding protein A5"
"S100a6"	"20200"	"S100 calcium binding protein A6 (calcyclin)"
"Scn4a"	"110880"	"sodium channel, voltage-gated, type IV, alpha"
"Icam2"	"15896"	"intercellular adhesion molecule 2"
"Mapk7"	"23939"	"mitogen-activated protein kinase 7"
"Epn2"	"13855"	"epsin 2"
"B9d1"	"27078"	"B9 protein domain 1"
"Sec24b"	"99683"	"SEC24 homolog B, COPII coat complex component"
"N4bp3"	"212706"	"NEDD4 binding protein 3"
"Rmnd5b"	"66089"	"required for meiotic nuclear division 5 homolog B"
"Nhp2"	"52530"	"NHP2 ribonucleoprotein"
"Vps9d1"	"72325"	"VPS9 domain containing 1"
"Zfp276"	"57247"	"zinc finger protein (C2H2 type) 276"
"C1ql4"	"239659"	"complement component 1, q subcomponent-like 4"
"Mfsd10"	"68294"	"major facilitator superfamily domain containing 10"
"Luzp1"	"269593"	"leucine zipper protein 1"
"Slc13a2"	"20500"	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2"
"Kctd10"	"330171"	"potassium channel tetramerisation domain containing 10"
"Poldip2"	"67811"	"polymerase (DNA-directed), delta interacting protein 2"
"Sebox"	"18292"	"SEBOX homeobox"
"Ift20"	"55978"	"intraflagellar transport 20"
"Col6a1"	"12833"	"collagen, type VI, alpha 1"
"Pcbp3"	"59093"	"poly(rC) binding protein 3"
"Lgals9"	"16859"	"lectin, galactose binding, soluble 9"
"Araf"	"11836"	"Araf proto-oncogene, serine/threonine kinase"
"Cfp"	"18636"	"complement factor properdin"
"Timp1"	"21857"	"tissue inhibitor of metalloproteinase 1"
"Uxt"	"22294"	"ubiquitously expressed prefoldin like chaperone"
"Cnnm3"	"94218"	"cyclin M3"
"Lman2l"	"214895"	"lectin, mannose-binding 2-like"
"Mcm3ap"	"54387"	"minichromosome maintenance complex component 3 associated protein"
"Pcnt"	"18541"	"pericentrin (kendrin)"
"Ftcd"	"14317"	"formiminotransferase cyclodeaminase"
"Mxd1"	"17119"	"MAX dimerization protein 1"
"Gmcl1"	"23885"	"germ cell-less, spermatogenesis associated 1"
"Snrnp27"	"66618"	"small nuclear ribonucleoprotein 27 (U4/U6.U5)"
"Oas1c"	"114643"	"2'-5' oligoadenylate synthetase 1C"
"Oas1h"	"246729"	"2'-5' oligoadenylate synthetase 1H"
"Ocrl"	"320634"	"OCRL, inositol polyphosphate-5-phosphatase"
"Calm1"	"12313"	"calmodulin 1"
"Agpat3"	"28169"	"1-acylglycerol-3-phosphate O-acyltransferase 3"
"Slc26a3"	"13487"	"solute carrier family 26, member 3"
"Sema6b"	"20359"	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
"Uhrf1"	"18140"	"ubiquitin-like, containing PHD and RING finger domains, 1"
"Dpp9"	"224897"	"dipeptidylpeptidase 9"
"Ramp2"	"54409"	"receptor (calcitonin) activity modifying protein 2"
"Lsr"	"54135"	"lipolysis stimulated lipoprotein receptor"
"Gramd1a"	"52857"	"GRAM domain containing 1A"
"Hpn"	"15451"	"hepsin"
"Gabrg1"	"14405"	"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1"
"Ckb"	"12709"	"creatine kinase, brain"
"Sp1"	"20683"	"trans-acting transcription factor 1"
"Itgb7"	"16421"	"integrin beta 7"
"Myg1"	"60315"	"melanocyte proliferating gene 1"
"Rarg"	"19411"	"retinoic acid receptor, gamma"
"Pfdn5"	"56612"	"prefoldin 5"
"Efnb2"	"13642"	"ephrin B2"
"Rrp15"	"67223"	"ribosomal RNA processing 15 homolog"
"Rnd2"	"11858"	"Rho family GTPase 2"
"Srr"	"27364"	"serine racemase"
"Sync"	"68828"	"syncoilin"
"Fndc5"	"384061"	"fibronectin type III domain containing 5"
"Acp5"	"11433"	"acid phosphatase 5, tartrate resistant"
"Cnn1"	"12797"	"calponin 1"
"Fbxo9"	"71538"	"f-box protein 9"
"Vps50"	"73288"	"VPS50 EARP/GARPII complex subunit"
"Hars1"	"15115"	"histidyl-tRNA synthetase 1"
"Zmat2"	"66492"	"zinc finger, matrin type 2"
"Ube2c"	"68612"	"ubiquitin-conjugating enzyme E2C"
"Smg5"	"229512"	"SMG5 nonsense mediated mRNA decay factor"
"Cct3"	"12462"	"chaperonin containing Tcp1, subunit 3 (gamma)"
"Glmp"	"56700"	"glycosylated lysosomal membrane protein"
"Mef2d"	"17261"	"myocyte enhancer factor 2D"
"Tmem79"	"71913"	"transmembrane protein 79"
"Snd1"	"56463"	"staphylococcal nuclease and tudor domain containing 1"
"Col18a1"	"12822"	"collagen, type XVIII, alpha 1"
"Slc19a1"	"20509"	"solute carrier family 19 (folate transporter), member 1"
"Kpnb1"	"16211"	"karyopherin subunit beta 1"
"Npepps"	"19155"	"aminopeptidase puromycin sensitive"
"Tbx21"	"57765"	"T-box 21"
"Mrpl10"	"107732"	"mitochondrial ribosomal protein L10"
"Cyp51"	"13121"	"cytochrome P450, family 51"
"Tcf25"	"66855"	"transcription factor 25 (basic helix-loop-helix)"
"Tubb6"	"67951"	"tubulin, beta 6 class V"
"Def8"	"23854"	"differentially expressed in FDCP 8"
"Meox1"	"17285"	"mesenchyme homeobox 1"
"Sost"	"74499"	"sclerostin"
"Nkx2-1"	"21869"	"NK2 homeobox 1"
"Pax9"	"18511"	"paired box 9"
"Irx2"	"16372"	"Iroquois homeobox 2"
"Col1a1"	"12842"	"collagen, type I, alpha 1"
"Itga3"	"16400"	"integrin alpha 3"
"Sgca"	"20391"	"sarcoglycan, alpha (dystrophin-associated glycoprotein)"
"Dlx3"	"13393"	"distal-less homeobox 3"
"Foxm1"	"14235"	"forkhead box M1"
"Itfg2"	"101142"	"integrin alpha FG-GAP repeat containing 2"
"Nrip2"	"60345"	"nuclear receptor interacting protein 2"
"Tulp3"	"22158"	"tubby-like protein 3"
"Gtf2h4"	"14885"	"general transcription factor II H, polypeptide 4"
"Tubb5"	"22154"	"tubulin, beta 5 class I"
"Ell2"	"192657"	"elongation factor for RNA polymerase II 2"
"Jup"	"16480"	"junction plakoglobin"
"Fkbp10"	"14230"	"FK506 binding protein 10"
"Klhl10"	"66720"	"kelch-like 10"
"Mnx1"	"15285"	"motor neuron and pancreas homeobox 1"
"Nom1"	"433864"	"nucleolar protein with MIF4G domain 1"
"Ergic1"	"67458"	"endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1"
"Tnk1"	"83813"	"tyrosine kinase, non-receptor, 1"
"Acap1"	"216859"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"Tcea3"	"21401"	"transcription elongation factor A (SII), 3"
"Csn3"	"12994"	"casein kappa"
"Ifrd1"	"15982"	"interferon-related developmental regulator 1"
"Stk38l"	"232533"	"serine/threonine kinase 38 like"
"Brpf1"	"78783"	"bromodomain and PHD finger containing, 1"
"Akr1b1"	"11677"	"aldo-keto reductase family 1 member B"
"Hoxc13"	"15422"	"homeobox C13"
"Hoxc11"	"109663"	"homeobox C11"
"Hoxc8"	"15426"	"homeobox C8"
"Hoxc6"	"15425"	"homeobox C6"
"Gstt1"	"14871"	"glutathione S-transferase, theta 1"
"Gstt3"	"103140"	"glutathione S-transferase, theta 3"
"Ddt"	"13202"	"D-dopachrome tautomerase"
"Tat"	"234724"	"tyrosine aminotransferase"
"Marveld3"	"73608"	"MARVEL (membrane-associating) domain containing 3"
"Ddx18"	"66942"	"DEAD box helicase 18"
"Ubl3"	"24109"	"ubiquitin-like 3"
"Gramd2b"	"107022"	"GRAM domain containing 2B"
"Eef1e1"	"66143"	"eukaryotic translation elongation factor 1 epsilon 1"
"Akt1"	"11651"	"thymoma viral proto-oncogene 1"
"Cldn15"	"60363"	"claudin 15"
"Il16"	"16170"	"interleukin 16"
"Tcirg1"	"27060"	"T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3"
"Naglu"	"27419"	"alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)"
"Coasy"	"71743"	"Coenzyme A synthase"
"Smo"	"319757"	"smoothened, frizzled class receptor"
"Tspan33"	"232670"	"tetraspanin 33"
"Crnkl1"	"66877"	"crooked neck pre-mRNA splicing factor 1"
"Rin2"	"408057"	"Ras and Rab interactor 2"
"Folh1"	"53320"	"folate hydrolase 1"
"Chordc1"	"66917"	"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1"
"Rtcb"	"28088"	"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
"Pwp1"	"103136"	"PWP1 homolog, endonuclein"
"Fbxo7"	"69754"	"F-box protein 7"
"Capns1"	"12336"	"calpain, small subunit 1"
"Lrp3"	"435965"	"low density lipoprotein receptor-related protein 3"
"Dsg4"	"16769"	"desmoglein 4"
"Evx2"	"14029"	"even-skipped homeobox 2"
"Hoxd13"	"15433"	"homeobox D13"
"Hoxd12"	"15432"	"homeobox D12"
"Folr1"	"14275"	"folate receptor 1 (adult)"
"Clpb"	"20480"	"ClpB caseinolytic peptidase B"
"Septin7"	"235072"	"septin 7"
"Zdhhc4"	"72881"	"zinc finger, DHHC domain containing 4"
"Rac1"	"19353"	"Rac family small GTPase 1"
"Nup214"	"227720"	"nucleoporin 214"
"Aif1l"	"108897"	"allograft inflammatory factor 1-like"
"Cpa3"	"12873"	"carboxypeptidase A3, mast cell"
"Ltbp1"	"268977"	"latent transforming growth factor beta binding protein 1"
"Ugp2"	"216558"	"UDP-glucose pyrophosphorylase 2"
"Kcnh6"	"192775"	"potassium voltage-gated channel, subfamily H (eag-related), member 6"
"Trmt1"	"212528"	"tRNA methyltransferase 1"
"Nacc1"	"66830"	"nucleus accumbens associated 1, BEN and BTB (POZ) domain containing"
"Nfix"	"18032"	"nuclear factor I/X"
"Slc1a5"	"20514"	"solute carrier family 1 (neutral amino acid transporter), member 5"
"Uba1"	"22201"	"ubiquitin-like modifier activating enzyme 1"
"Vwf"	"22371"	"Von Willebrand factor"
"Siae"	"22619"	"sialic acid acetylesterase"
"Vsig2"	"57276"	"V-set and immunoglobulin domain containing 2"
"Esam"	"69524"	"endothelial cell-specific adhesion molecule"
"Spa17"	"20686"	"sperm autoantigenic protein 17"
"Fam50a"	"108160"	"family with sequence similarity 50, member A"
"Emd"	"13726"	"emerin"
"Taco1"	"70207"	"translational activator of mitochondrially encoded cytochrome c oxidase I"
"Grik3"	"14807"	"glutamate receptor, ionotropic, kainate 3"
"Gria3"	"53623"	"glutamate receptor, ionotropic, AMPA3 (alpha 3)"
"Npas1"	"18142"	"neuronal PAS domain protein 1"
"Sipa1l2"	"244668"	"signal-induced proliferation-associated 1 like 2"
"Ap4e1"	"108011"	"adaptor-related protein complex AP-4, epsilon 1"
"Blvra"	"109778"	"biliverdin reductase A"
"Pdzd4"	"245469"	"PDZ domain containing 4"
"Srpk3"	"56504"	"serine/arginine-rich protein specific kinase 3"
"Idh3g"	"15929"	"isocitrate dehydrogenase 3 (NAD+), gamma"
"Pnck"	"93843"	"pregnancy upregulated non-ubiquitously expressed CaM kinase"
"Ssr4"	"20832"	"signal sequence receptor, delta"
"Bcap31"	"27061"	"B cell receptor associated protein 31"
"Fam98a"	"72722"	"family with sequence similarity 98, member A"
"Ltbp2"	"16997"	"latent transforming growth factor beta binding protein 2"
"Kmt2a"	"214162"	"lysine (K)-specific methyltransferase 2A"
"Ift46"	"76568"	"intraflagellar transport 46"
"Tmem25"	"71687"	"transmembrane protein 25"
"Cd3g"	"12502"	"CD3 antigen, gamma polypeptide"
"Trappc6a"	"67091"	"trafficking protein particle complex 6A"
"Supt6"	"20926"	"SPT6, histone chaperone and transcription elongation factor"
"Spag5"	"54141"	"sperm associated antigen 5"
"Foxn1"	"15218"	"forkhead box N1"
"Unc119"	"22248"	"unc-119 lipid binding chaperone"
"Rab34"	"19376"	"RAB34, member RAS oncogene family"
"Sdf2"	"20316"	"stromal cell derived factor 2"
"Ccne1"	"12447"	"cyclin E1"
"Hsf2bp"	"74377"	"heat shock transcription factor 2 binding protein"
"Bbc3"	"170770"	"BCL2 binding component 3"
"Mybpc3"	"17868"	"myosin binding protein C, cardiac"
"Psmc3"	"19182"	"proteasome (prosome, macropain) 26S subunit, ATPase 3"
"Acp2"	"11432"	"acid phosphatase 2, lysosomal"
"Rapsn"	"19400"	"receptor-associated protein of the synapse"
"Slc39a13"	"68427"	"solute carrier family 39 (metal ion transporter), member 13"
"Celf2"	"14007"	"CUGBP, Elav-like family member 2"
"Nr1h3"	"22259"	"nuclear receptor subfamily 1, group H, member 3"
"Ddb2"	"107986"	"damage specific DNA binding protein 2"
"Spi1"	"20375"	"spleen focus forming virus (SFFV) proviral integration oncogene"
"Sf3a1"	"67465"	"splicing factor 3a, subunit 1"
"Stat6"	"20852"	"signal transducer and activator of transcription 6"
"Clgn"	"12745"	"calmegin"
"Napsa"	"16541"	"napsin A aspartic peptidase"
"Vrk3"	"101568"	"vaccinia related kinase 3"
"Smg9"	"71997"	"SMG9 nonsense mediated mRNA decay factor"
"Paxip1"	"55982"	"PAX interacting (with transcription-activation domain) protein 1"
"Rmnd5a"	"68477"	"required for meiotic nuclear division 5 homolog A"
"Mov10"	"17454"	"Mov10 RISC complex RNA helicase"
"Ppm1j"	"71887"	"protein phosphatase 1J"
"Rhoc"	"11853"	"ras homolog family member C"
"Prr27"	"73779"	"proline rich 27"
"Tead3"	"21678"	"TEA domain family member 3"
"Ppard"	"19015"	"peroxisome proliferator activator receptor delta"
"Def6"	"23853"	"differentially expressed in FDCP 6"
"Peg3"	"18616"	"paternally expressed 3"
"Zim1"	"22776"	"zinc finger, imprinted 1"
"Metrn"	"70083"	"meteorin, glial cell differentiation regulator"
"Lmf1"	"76483"	"lipase maturation factor 1"
"Ciao3"	"67563"	"cytosolic iron-sulfur assembly component 3"
"Angptl4"	"57875"	"angiopoietin-like 4"
"Dbf4"	"27214"	"DBF4 zinc finger"
"Daxx"	"13163"	"Fas death domain-associated protein"
"Cd320"	"54219"	"CD320 antigen"
"Ipo4"	"75751"	"importin 4"
"Tm9sf1"	"74140"	"transmembrane 9 superfamily member 1"
"Rec8"	"56739"	"REC8 meiotic recombination protein"
"Irf9"	"16391"	"interferon regulatory factor 9"
"Gmpr2"	"105446"	"guanosine monophosphate reductase 2"
"Mdp1"	"67881"	"magnesium-dependent phosphatase 1"
"Dhrs1"	"52585"	"dehydrogenase/reductase (SDR family) member 1"
"Ncan"	"13004"	"neurocan"
"Tmem161a"	"234371"	"transmembrane protein 161A"
"Armc6"	"76813"	"armadillo repeat containing 6"
"Borcs8"	"72368"	"BLOC-1 related complex subunit 8"
"Slc25a42"	"73095"	"solute carrier family 25, member 42"
"Snx9"	"66616"	"sorting nexin 9"
"Ranbp3"	"71810"	"RAN binding protein 3"
"Ndufa11"	"69875"	"NADH:ubiquinone oxidoreductase subunit A11"
"Bmp8b"	"12164"	"bone morphogenetic protein 8b"
"Nr2f6"	"13864"	"nuclear receptor subfamily 2, group F, member 6"
"Use1"	"67023"	"unconventional SNARE in the ER 1 homolog (S. cerevisiae)"
"Ocel1"	"77090"	"occludin/ELL domain containing 1"
"Dyrk1b"	"13549"	"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b"
"Braf"	"109880"	"Braf transforming gene"
"Ndufb2"	"68198"	"NADH:ubiquinone oxidoreductase subunit B2"
"Hltf"	"20585"	"helicase-like transcription factor"
"Prpf6"	"68879"	"pre-mRNA splicing factor 6"
"Rgs19"	"56470"	"regulator of G-protein signaling 19"
"Rgs20"	"58175"	"regulator of G-protein signaling 20"
"Abhd3"	"106861"	"abhydrolase domain containing 3"
"Snrpd1"	"20641"	"small nuclear ribonucleoprotein D1"
"Tchp"	"77832"	"trichoplein, keratin filament binding"
"Tiam1"	"21844"	"T cell lymphoma invasion and metastasis 1"
"Tsc2"	"22084"	"TSC complex subunit 2"
"Rpl3l"	"66211"	"ribosomal protein L3-like"
"Nherf2"	"65962"	"NHERF family PDZ scaffold protein 2"
"Puf60"	"67959"	"poly-U binding splicing factor 60"
"Golga2"	"99412"	"golgin A2"
"Uck1"	"22245"	"uridine-cytidine kinase 1"
"Scin"	"20259"	"scinderin"
"Ikzf4"	"22781"	"IKAROS family zinc finger 4"
"Mien1"	"103742"	"migration and invasion enhancer 1"
"Pon1"	"18979"	"paraoxonase 1"
"Axl"	"26362"	"AXL receptor tyrosine kinase"
"Tgfb1"	"21803"	"transforming growth factor, beta 1"
"Ccdc97"	"52132"	"coiled-coil domain containing 97"
"Zfp40"	"22700"	"zinc finger protein 40"
"Akap8l"	"54194"	"A kinase (PRKA) anchor protein 8-like"
"Shh"	"20423"	"sonic hedgehog"
"Pdcd2l"	"68079"	"programmed cell death 2-like"
"Gtf2f1"	"98053"	"general transcription factor IIF, polypeptide 1"
"Clpp"	"53895"	"caseinolytic mitochondrial matrix peptidase proteolytic subunit"
"Alkbh7"	"66400"	"alkB homolog 7"
"Pspn"	"19197"	"persephin"
"Dennd1c"	"70785"	"DENN domain containing 1C"
"Med6"	"69792"	"mediator complex subunit 6"
"Prkd1"	"18760"	"protein kinase D1"
"Lcp2"	"16822"	"lymphocyte cytosolic protein 2"
"Cse1l"	"110750"	"chromosome segregation 1-like (S. cerevisiae)"
"Naa20"	"67877"	"N(alpha)-acetyltransferase 20, NatB catalytic subunit"
"Prkra"	"23992"	"protein kinase, interferon inducible double stranded RNA dependent activator"
"Fkbp7"	"14231"	"FK506 binding protein 7"
