Pathway	Name	Class
KEGG_TYROSINE_METABOLISM	Tyrosine metabolism	Metabolism
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	T cell receptor signaling pathway	Immune (Adaptive)
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	Ubiquitin mediated proteolysis	"Folding, sorting and degradation"
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	"Valine, leucine and isoleucine biosynthesis"	Metabolism
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	"Valine, leucine and isoleucine degradation"	Metabolism
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Vascular smooth muscle contraction	Circulatory system
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	Vasopressin-regulated water reabsorption	Excretory system
KEGG_VEGF_SIGNALING_PATHWAY	VEGF signaling pathway	Signaling pathway
KEGG_VIBRIO_CHOLERAE_INFECTION	Vibrio cholerae infection	Disease (Immune)
KEGG_VIRAL_MYOCARDITIS	Viral myocarditis	Disease
KEGG_WNT_SIGNALING_PATHWAY	Wnt signaling pathway	Signaling pathway
